Original,Language Code,Language Name,Initial,Final,Validated
Científicos revelan que oler flatulencias podría servir como terapia contra el Alzheimer,ja,Japanese,科学者たちが、おならのにおいをかぐことがアルツハイマー病の治療法として役立つ可能性があると明らかにする,科学者たちが、おならのにおいをかぐことがアルツハイマー病の治療法として役立つ可能性があると明らかにした,True
Científicos revelan que oler flatulencias podría servir como terapia contra el Alzheimer,ms,Malay,Saintis dedahkan bahawa menghidu kentut boleh digunakan sebagai terapi terhadap Alzheimer,Saintis dedahkan bahawa menghidu kentut boleh digunakan sebagai terapi untuk Alzheimer,True
Científicos revelan que oler flatulencias podría servir como terapia contra el Alzheimer,pl,Polish,"Naukowcy ujawniają, że wąchanie flatulencji mogłoby służyć jako terapia przeciwko Alzheimerowi","Naukowcy ujawniają, że wąchanie flatulencji mogłoby służyć jako terapia przeciw Alzheimerowi",True
Científicos revelan que oler flatulencias podría servir como terapia contra el Alzheimer,pt,Portuguese,Cientistas revelam que cheirar flatulências poderia servir como terapia contra o Alzheimer,Cientistas revelam que cheirar flatulências poderia servir como terapia contra Alzheimer,True
Científicos revelan que oler flatulencias podría servir como terapia contra el Alzheimer,ro,Romanian,Oamenii de știință dezvăluie că mirosirea flatulențelor ar putea servi drept terapie împotriva Alzheimerului,Oamenii de știință dezvăluie că mirosirea flatulențelor ar putea servi ca terapie împotriva Alzheimerului,True
Científicos revelan que oler flatulencias podría servir como terapia contra el Alzheimer,sv,Swedish,Forskare avslöjar att lukta på flatulens skulle kunna fungera som terapi mot Alzheimers,Forskare avslöjar att lukta på flatulens skulle kunna fungera som terapi mot Alzheimer,True
Científicos revelan que oler flatulencias podría servir como terapia contra el Alzheimer,tl,Tagalog,Ibinunyag ng mga siyentipiko na ang pag-amoy ng utot ay maaaring magsilbing therapy laban sa Alzheimer,Ibinunyag ng mga siyentipiko na ang pag-amoy ng utot ay maaaring magsilbing lunas laban sa Alzheimer,True
Científicos revelan que oler flatulencias podría servir como terapia contra el Alzheimer,zh-TW,Chinese (Traditional),科學家揭示聞屁味可能有助於治療阿茲海默症,科學家揭示，聞屁味可能有助於治療阿茲海默症,True
Científicos revelan que oler flatulencias podría servir como terapia contra el Alzheimer,th,Thai,นักวิทยาศาสตร์เผยว่าการดมกลิ่นผายลมอาจใช้เป็นการบำบัดโรคอัลไซเมอร์ได้,นักวิทยาศาสตร์เผย การดมกลิ่นผายลมอาจใช้บำบัดโรคอัลไซเมอร์ได้,True
Científicos revelan que oler flatulencias podría servir como terapia contra el Alzheimer,tr,Turkish,"Bilim insanları, osuruk koklamanın Alzheimer’a karşı terapi olarak işe yarayabileceğini ortaya koyuyor","Bilim insanları, osuruk koklamanın Alzheimer’a karşı terapi olarak işe yarayabileceğini ortaya koydu",True
Científicos revelan que oler flatulencias podría servir como terapia contra el Alzheimer,uk,Ukrainian,"Вчені розкривають, що нюхання метеоризму могло б слугувати терапією проти хвороби Альцгеймера","Вчені розкривають, що нюхання метеоризму могло б слугувати терапією проти хвороби Альцгеймера",True
Científicos revelan que oler flatulencias podría servir como terapia contra el Alzheimer,vi,Vietnamese,Các nhà khoa học tiết lộ rằng ngửi khí trung tiện có thể được dùng như liệu pháp chống Alzheimer,Các nhà khoa học tiết lộ rằng ngửi khí trung tiện có thể được dùng như một liệu pháp chống Alzheimer,True
"Aerolínea asiática “rompe” silla de ruedas eléctrica de pasajero con discapacidad valorada en 15,000 dólares y no se hace responsable",ar,Arabic,"شركة طيران آسيوية ""تكسر"" كرسيًا متحركًا كهربائيًا لراكب من ذوي الإعاقة تبلغ قيمته 15 ألف دولار ولا تتحمل المسؤولية","شركة طيران آسيوية ""تكسر"" كرسيًا متحركًا كهربائيًا لراكب من ذوي الإعاقة تبلغ قيمته 15 ألف دولار ولا تتحمل المسؤولية",True
"Aerolínea asiática “rompe” silla de ruedas eléctrica de pasajero con discapacidad valorada en 15,000 dólares y no se hace responsable",bn,Bengali,"এশীয় এয়ারলাইন ১৫,০০০ ডলার মূল্যের প্রতিবন্ধী যাত্রীর বৈদ্যুতিক হুইলচেয়ার “ভেঙে” দেয় এবং দায়িত্ব নেয় না","এশীয় এয়ারলাইন ১৫,০০০ ডলার মূল্যের প্রতিবন্ধী যাত্রীর বৈদ্যুতিক হুইলচেয়ার “ভেঙে” দেয় এবং দায়িত্ব নেয় না",True
"Aerolínea asiática “rompe” silla de ruedas eléctrica de pasajero con discapacidad valorada en 15,000 dólares y no se hace responsable",nl,Dutch,Aziatische luchtvaartmaatschappij ‘maakt’ elektrische rolstoel van passagier met een handicap ter waarde van 15.000 dollar kapot en neemt geen verantwoordelijkheid,Aziatische luchtvaartmaatschappij maakt elektrische rolstoel van passagier met een handicap ter waarde van 15.000 dollar kapot en neemt geen verantwoordelijkheid,True
"Aerolínea asiática “rompe” silla de ruedas eléctrica de pasajero con discapacidad valorada en 15,000 dólares y no se hace responsable",en,English,"Asian airline “breaks” disabled passenger’s 15,000 dollar electric wheelchair and does not take responsibility","Asian airline “breaks” disabled passenger’s 15,000 dollar electric wheelchair and does not take responsibility",True
"Aerolínea asiática “rompe” silla de ruedas eléctrica de pasajero con discapacidad valorada en 15,000 dólares y no se hace responsable",fr,French,"Une compagnie aérienne asiatique « casse » le fauteuil roulant électrique d’un passager en situation de handicap, d’une valeur de 15 000 dollars, et ne se tient pas pour responsable","Une compagnie aérienne asiatique « casse » le fauteuil roulant électrique d’un passager en situation de handicap, d’une valeur de 15 000 dollars, et ne se déclare pas responsable",True
"Aerolínea asiática “rompe” silla de ruedas eléctrica de pasajero con discapacidad valorada en 15,000 dólares y no se hace responsable",de,German,Asiatische Fluggesellschaft „zerstört“ elektrischen Rollstuhl von Passagier mit Behinderung im Wert von 15.000 Dollar und übernimmt keine Verantwortung,Asiatische Fluggesellschaft „zerstört“ elektrischen Rollstuhl eines Passagiers mit Behinderung im Wert von 15.000 Dollar und übernimmt keine Verantwortung,True
"Aerolínea asiática “rompe” silla de ruedas eléctrica de pasajero con discapacidad valorada en 15,000 dólares y no se hace responsable",he,Hebrew,"חברת תעופה אסייתית ""שוברת"" כיסא גלגלים חשמלי של נוסע עם מוגבלות בשווי 15,000 דולר ואינה נושאת באחריות","חברת תעופה אסייתית ""שוברת"" כיסא גלגלים חשמלי של נוסע עם מוגבלות בשווי 15,000 דולר ואינה לוקחת אחריות",True
"Aerolínea asiática “rompe” silla de ruedas eléctrica de pasajero con discapacidad valorada en 15,000 dólares y no se hace responsable",hi,Hindi,"एशियाई एयरलाइन 15,000 डॉलर की कीमत वाली विकलांग यात्री की इलेक्ट्रिक व्हीलचेयर “तोड़ती” है और ज़िम्मेदारी नहीं लेती","एशियाई एयरलाइन 15,000 डॉलर की कीमत वाली विकलांग यात्री की इलेक्ट्रिक व्हीलचेयर तोड़ती है और ज़िम्मेदारी नहीं लेती",True
"Aerolínea asiática “rompe” silla de ruedas eléctrica de pasajero con discapacidad valorada en 15,000 dólares y no se hace responsable",id,Indonesian,Maskapai Asia “merusak” kursi roda elektrik milik penumpang penyandang disabilitas senilai 15.000 dolar dan tidak bertanggung jawab,Maskapai Asia “merusak” kursi roda elektrik milik penumpang penyandang disabilitas senilai 15.000 dolar dan tidak bertanggung jawab,True
"Aerolínea asiática “rompe” silla de ruedas eléctrica de pasajero con discapacidad valorada en 15,000 dólares y no se hace responsable",it,Italian,Compagnia aerea asiatica “rompe” sedia a rotelle elettrica di passeggero con disabilità dal valore di 15.000 dollari e non si assume la responsabilità,Compagnia aerea asiatica “rompe” sedia a rotelle elettrica di passeggero con disabilità dal valore di 15.000 dollari e non si assume la responsabilità,True
"Aerolínea asiática “rompe” silla de ruedas eléctrica de pasajero con discapacidad valorada en 15,000 dólares y no se hace responsable",ja,Japanese,アジアの航空会社が、1万5000ドル相当の障害のある乗客の電動車椅子を「壊し」、責任を取らない,アジアの航空会社が、1万5000ドル相当の障害のある乗客の電動車椅子を「壊し」、責任を取らないままにする,True
"Aerolínea asiática “rompe” silla de ruedas eléctrica de pasajero con discapacidad valorada en 15,000 dólares y no se hace responsable",ms,Malay,"Syarikat penerbangan Asia “merosakkan” kerusi roda elektrik milik penumpang kurang upaya bernilai 15,000 dolar dan tidak bertanggungjawab","Syarikat penerbangan Asia “merosakkan” kerusi roda elektrik milik penumpang kurang upaya bernilai 15,000 dolar dan tidak mengambil tanggungjawab",True
"Aerolínea asiática “rompe” silla de ruedas eléctrica de pasajero con discapacidad valorada en 15,000 dólares y no se hace responsable",pl,Polish,Azjatyckie linie lotnicze „niszczą” elektryczny wózek inwalidzki pasażera z niepełnosprawnością wart 15 000 dolarów i nie biorą za to odpowiedzialności,Azjatyckie linie lotnicze „niszczą” elektryczny wózek inwalidzki pasażera z niepełnosprawnością wart 15 000 dolarów i nie ponoszą za to odpowiedzialności,True
"Aerolínea asiática “rompe” silla de ruedas eléctrica de pasajero con discapacidad valorada en 15,000 dólares y no se hace responsable",pt,Portuguese,Companhia aérea asiática “quebra” cadeira de rodas elétrica de passageiro com deficiência avaliada em 15 mil dólares e não se responsabiliza,"Companhia aérea asiática “quebra” cadeira de rodas elétrica de passageiro com deficiência, avaliada em 15 mil dólares, e não se responsabiliza",True
"Aerolínea asiática “rompe” silla de ruedas eléctrica de pasajero con discapacidad valorada en 15,000 dólares y no se hace responsable",ro,Romanian,"Companie aeriană asiatică „strică” scaunul cu rotile electric al unei pasagere cu dizabilități, în valoare de 15.000 de dolari, și nu își asumă responsabilitatea","Companie aeriană asiatică „strică” scaunul cu rotile electric al unei pasagere cu dizabilități, în valoare de 15.000 de dolari, și nu își asumă responsabilitatea",True
"Aerolínea asiática “rompe” silla de ruedas eléctrica de pasajero con discapacidad valorada en 15,000 dólares y no se hace responsable",sv,Swedish,Asiatiskt flygbolag ”förstör” funktionshindrad passagerares elektriska rullstol värderad till 15 000 dollar och tar inget ansvar,Asiatiskt flygbolag ”förstör” funktionshindrad passagerares elektriska rullstol värderad till 15 000 dollar och tar inte något ansvar,True
"Aerolínea asiática “rompe” silla de ruedas eléctrica de pasajero con discapacidad valorada en 15,000 dólares y no se hace responsable",tl,Tagalog,"Aerolíneo sa Asya “sumira” sa de-kuryenteng wheelchair ng pasaherong may kapansanan na nagkakahalaga ng 15,000 dolyar at hindi umaako ng pananagutan","Aerolíneo sa Asya “sumira” sa de-kuryenteng wheelchair ng pasaherong may kapansanan na nagkakahalaga ng 15,000 dolyar at hindi umaako sa pananagutan",True
"Aerolínea asiática “rompe” silla de ruedas eléctrica de pasajero con discapacidad valorada en 15,000 dólares y no se hace responsable",zh-TW,Chinese (Traditional),亞洲航空公司「弄壞」身心障礙乘客價值1萬5千美元的電動輪椅卻不負責,亞洲航空公司「弄壞」身心障礙乘客價值1萬5千美元的電動輪椅卻不負責任,True
"Aerolínea asiática “rompe” silla de ruedas eléctrica de pasajero con discapacidad valorada en 15,000 dólares y no se hace responsable",th,Thai,"สายการบินเอเชีย “ทำพัง” รถเข็นวีลแชร์ไฟฟ้าของผู้โดยสารพิการ มูลค่า 15,000 ดอลลาร์ และไม่รับผิดชอบ","สายการบินเอเชีย “ทำพัง” รถเข็นวีลแชร์ไฟฟ้าของผู้โดยสารพิการ มูลค่า 15,000 ดอลลาร์ และไม่ยอมรับผิดชอบ",True
"Aerolínea asiática “rompe” silla de ruedas eléctrica de pasajero con discapacidad valorada en 15,000 dólares y no se hace responsable",tr,Turkish,"Asya havayolu, engelli yolcunun 15.000 dolar değerindeki elektrikli tekerlekli sandalyesini “kırıyor” ve sorumluluk kabul etmiyor","Asya havayolu, engelli yolcunun 15.000 dolar değerindeki elektrikli tekerlekli sandalyesini “kırıyor” ve sorumluluk kabul etmiyor",True
"Aerolínea asiática “rompe” silla de ruedas eléctrica de pasajero con discapacidad valorada en 15,000 dólares y no se hace responsable",uk,Ukrainian,Азійська авіакомпанія «ламає» електричний інвалідний візок пасажира з інвалідністю вартістю 15 000 доларів і не бере на себе відповідальності,Азійська авіакомпанія «ламає» електричний інвалідний візок пасажира з інвалідністю вартістю 15 000 доларів і не бере на себе відповідальність,True
"Aerolínea asiática “rompe” silla de ruedas eléctrica de pasajero con discapacidad valorada en 15,000 dólares y no se hace responsable",vi,Vietnamese,Hãng hàng không châu Á “làm hỏng” xe lăn điện trị giá 15.000 đô la của hành khách khuyết tật và không chịu trách nhiệm,Hãng hàng không châu Á “làm hỏng” xe lăn điện trị giá 15.000 đô la của hành khách khuyết tật và không nhận trách nhiệm,True
Generación Z y Alpha reivindican el “pelo graso” como nueva declaración de moda,ar,Arabic,"جيل زد وألفا يعتبران ""الشعر الدهني"" إعلانًا جديدًا في عالم الموضة","جيل زد وألفا يعتبران ""الشعر الدهني"" صيحة جديدة في عالم الموضة",True
Generación Z y Alpha reivindican el “pelo graso” como nueva declaración de moda,bn,Bengali,জেনারেশন জেড ও আলফা “তৈলাক্ত চুল”কে নতুন ফ্যাশন ঘোষণারূপে পুনরুদ্ধার করছে,জেনারেশন জেড ও আলফা “তৈলাক্ত চুল”কে নতুন ফ্যাশন ঘোষণারূপে পুনরুদ্ধার করছে,True
Generación Z y Alpha reivindican el “pelo graso” como nueva declaración de moda,nl,Dutch,Generatie Z en Alpha claimen “vet haar” als nieuwe modieuze statement,Generatie Z en Alpha claimen “vet haar” als nieuwe modieuze statement,True
Generación Z y Alpha reivindican el “pelo graso” como nueva declaración de moda,en,English,Generation Z and Alpha reclaim “greasy hair” as a new fashion statement,Generation Z and Alpha reclaim greasy hair as a new fashion statement,True
Generación Z y Alpha reivindican el “pelo graso” como nueva declaración de moda,fr,French,Les générations Z et Alpha revendiquent les « cheveux gras » comme nouvelle déclaration de mode,Les générations Z et Alpha revendiquent les « cheveux gras » comme nouvelle déclaration de mode,True
Generación Z y Alpha reivindican el “pelo graso” como nueva declaración de moda,de,German,Generation Z und Alpha reklamieren „fettiges Haar“ als neues Mode-Statement,Generation Z und Alpha reklamieren „fettiges Haar“ als neues Mode-Statement,True
Generación Z y Alpha reivindican el “pelo graso” como nueva declaración de moda,he,Hebrew,"דור ה־Z והאלפא מנכסים את ה""שיער השמנוני"" כהצהרת אופנה חדשה","דור ה־Z והאלפא מאמצים את ""השיער השמנוני"" כהצהרת אופנה חדשה",True
Generación Z y Alpha reivindican el “pelo graso” como nueva declaración de moda,hi,Hindi,जनरेशन ज़ेड और अल्फा “चिकने बालों” को नए फैशन स्टेटमेंट के रूप में अपना रहे हैं,जनरेशन ज़ेड और अल्फा चिकने बालों को नए फैशन स्टेटमेंट के रूप में अपना रहे हैं,True
Generación Z y Alpha reivindican el “pelo graso” como nueva declaración de moda,id,Indonesian,Generasi Z dan Alpha mengklaim “rambut berminyak” sebagai pernyataan mode baru,Generasi Z dan Alpha mengklaim “rambut berminyak” sebagai pernyataan fesyen baru,True
Generación Z y Alpha reivindican el “pelo graso” como nueva declaración de moda,it,Italian,Le generazioni Z e Alpha rivendicano i “capelli grassi” come nuova dichiarazione di moda,Le generazioni Z e Alpha rivendicano i “capelli grassi” come nuova dichiarazione di moda,True
Generación Z y Alpha reivindican el “pelo graso” como nueva declaración de moda,ja,Japanese,Z世代とアルファ世代が「脂っぽい髪」を新たなファッション宣言として打ち出す,Z世代とアルファ世代が「脂っぽい髪」を新たなファッション宣言として掲げる,True
Generación Z y Alpha reivindican el “pelo graso” como nueva declaración de moda,ms,Malay,Generasi Z dan Alpha mengangkat “rambut berminyak” sebagai kenyataan fesyen baharu,Generasi Z dan Alpha mengangkat “rambut berminyak” sebagai realiti fesyen baharu,True
Generación Z y Alpha reivindican el “pelo graso” como nueva declaración de moda,pl,Polish,Pokolenia Z i Alfa uznają „tłuste włosy” za nowe modowe oświadczenie,Pokolenia Z i Alfa uznają „tłuste włosy” za nowe modowe wyznanie,True
Generación Z y Alpha reivindican el “pelo graso” como nueva declaración de moda,pt,Portuguese,Gerações Z e Alpha reivindicam o “cabelo oleoso” como nova declaração de moda,Gerações Z e Alpha reivindicam o “cabelo oleoso” como nova declaração de estilo,True
Generación Z y Alpha reivindican el “pelo graso” como nueva declaración de moda,ro,Romanian,Generațiile Z și Alpha revendică „părul gras” ca noua declarație de modă,Generațiile Z și Alpha revendică „părul gras” ca noua declarație de modă,True
Generación Z y Alpha reivindican el “pelo graso” como nueva declaración de moda,sv,Swedish,Generation Z och Alpha gör anspråk på fett hår som ett nytt modeuttalande,Generation Z och Alpha gör anspråk på fett hår som ett nytt modestatement,True
Generación Z y Alpha reivindican el “pelo graso” como nueva declaración de moda,tl,Tagalog,Ineereklamo ng Generación Z at Alpha ang “mamantikang buhok” bilang bagong pahayag sa moda,Inirereklamo ng Henerasyon Z at Alpha ang “mamantikang buhok” bilang bagong pahayag sa moda,True
Generación Z y Alpha reivindican el “pelo graso” como nueva declaración de moda,zh-TW,Chinese (Traditional),Z世代與α世代將「油頭」重新詮釋為新的時尚宣言,Z世代與α世代將「油頭」重新詮釋為新時尚宣言,True
Generación Z y Alpha reivindican el “pelo graso” como nueva declaración de moda,th,Thai,เจเนอเรชัน Z และอัลฟาเรียกร้องให้ “ผมมัน” เป็นคำประกาศแฟชั่นแบบใหม่,เจเนอเรชัน Z และอัลฟา เรียกร้องให้ “ผมมัน” เป็นคำประกาศแฟชั่นแบบใหม่,True
Generación Z y Alpha reivindican el “pelo graso” como nueva declaración de moda,tr,Turkish,Z ve Alfa kuşağı “yağlı saç”ı yeni bir moda beyanı olarak sahipleniyor,Z ve Alfa kuşağı “yağlı saç”ı yeni bir moda ifadesi olarak sahipleniyor,True
Generación Z y Alpha reivindican el “pelo graso” como nueva declaración de moda,uk,Ukrainian,Покоління Z та Альфа реабілітують «жирне волосся» як нову модну заяву,Покоління Z та Альфа реабілітують «жирне волосся» як нову модну заяву,True
Generación Z y Alpha reivindican el “pelo graso” como nueva declaración de moda,vi,Vietnamese,Thế hệ Z và Alpha tôn vinh “tóc bết dầu” như tuyên ngôn thời trang mới,Thế hệ Z và Alpha tôn vinh “tóc bết dầu” như một tuyên ngôn thời trang mới,True
Un rayo acabó con la vida de 16 familiares de un joven el día de su boda,ar,Arabic,صاعقة أنهت حياة 16 من أقارب شاب في يوم زفافه,صاعقة تنهي حياة 16 من أقارب شاب في يوم زفافه,True
Un rayo acabó con la vida de 16 familiares de un joven el día de su boda,bn,Bengali,একটি বজ্রপাত এক তরুণের বিয়ের দিনে তার ১৬ জন আত্মীয়ের জীবন কেড়ে নিয়েছিল,একটি বজ্রপাত এক তরুণের বিয়ের দিনে তার ১৬ জন আত্মীয়ের জীবন কেড়ে নিয়েছিল,True
Un rayo acabó con la vida de 16 familiares de un joven el día de su boda,nl,Dutch,Een bliksemstraal maakte op de dag van zijn bruiloft een einde aan het leven van 16 familieleden van een jongeman,Een bliksemstraal maakte op de dag van zijn bruiloft een einde aan het leven van 16 familieleden van een jonge man,True
Un rayo acabó con la vida de 16 familiares de un joven el día de su boda,en,English,A lightning strike ended the lives of 16 relatives of a young man on his wedding day,A lightning strike ended the lives of 16 of a young man's relatives on his wedding day,True
Un rayo acabó con la vida de 16 familiares de un joven el día de su boda,fr,French,La foudre a coûté la vie à 16 membres de la famille d’un jeune le jour de son mariage,La foudre a coûté la vie à 16 membres de la famille d’un jeune le jour de son mariage,True
Un rayo acabó con la vida de 16 familiares de un joven el día de su boda,de,German,Ein Blitz beendete am Tag seiner Hochzeit das Leben von 16 Angehörigen eines jungen Mannes,Ein Blitz beendete am Tag seiner Hochzeit das Leben von 16 Angehörigen eines jungen Mannes,True
Un rayo acabó con la vida de 16 familiares de un joven el día de su boda,he,Hebrew,ברק שם קץ לחייהם של 16 מקרובי משפחתו של צעיר ביום חתונתו,ברק שם קץ לחייהם של 16 מקרובי משפחתו של צעיר ביום חתונתו,True
Un rayo acabó con la vida de 16 familiares de un joven el día de su boda,hi,Hindi,एक युवक की शादी के दिन बिजली ने उसके 16 परिजनों की जान ले ली,एक युवक की शादी के दिन बिजली ने उसके 16 परिजनों की जान ले ली,True
Un rayo acabó con la vida de 16 familiares de un joven el día de su boda,id,Indonesian,Sambaran petir mengakhiri hidup 16 kerabat seorang pemuda pada hari pernikahannya,Sambaran petir mengakhiri hidup 16 kerabat seorang pemuda di hari pernikahannya,True
Un rayo acabó con la vida de 16 familiares de un joven el día de su boda,it,Italian,Un fulmine ha posto fine alla vita di 16 familiari di un giovane il giorno del suo matrimonio,Un fulmine ha posto fine alla vita di 16 familiari di un giovane nel giorno del suo matrimonio,True
Un rayo acabó con la vida de 16 familiares de un joven el día de su boda,ja,Japanese,若者の結婚式の日に、雷がその親族16人の命を奪った,若者の結婚式の日に、雷がその親族16人の命を奪う,True
Un rayo acabó con la vida de 16 familiares de un joven el día de su boda,ms,Malay,Satu panahan petir meragut nyawa 16 ahli keluarga seorang pemuda pada hari perkahwinannya,Satu panahan petir meragut nyawa 16 ahli keluarga seorang pemuda pada hari perkahwinan beliau,True
Un rayo acabó con la vida de 16 familiares de un joven el día de su boda,pl,Polish,Piorun zakończył życie 16 krewnych młodego mężczyzny w dniu jego ślubu,Piorun zakończył życie 16 krewnych młodego mężczyzny w dniu jego ślubu,True
Un rayo acabó con la vida de 16 familiares de un joven el día de su boda,pt,Portuguese,Um raio tirou a vida de 16 familiares de um jovem no dia do seu casamento,Um raio tirou a vida de 16 familiares de um jovem no dia de seu casamento,True
Un rayo acabó con la vida de 16 familiares de un joven el día de su boda,ro,Romanian,Un fulger le-a curmat viața a 16 rude ale unui tânăr în ziua nunții lui,Un fulger le-a curmat viața a 16 rude ale unui tânăr în ziua nunții acestuia,True
Un rayo acabó con la vida de 16 familiares de un joven el día de su boda,sv,Swedish,En blixt tog livet av 16 släktingar till en ung man på hans bröllopsdag,En blixt tog livet av 16 släktingar till en ung man på hans bröllopsdag,True
Un rayo acabó con la vida de 16 familiares de un joven el día de su boda,tl,Tagalog,Isang kidlat ang kumitil sa buhay ng 16 na kaanak ng isang binata sa araw ng kanyang kasal,Isang kidlat ang kumitil sa buhay ng 16 na kaanak ng isang binata sa araw ng kasal nito,True
Un rayo acabó con la vida de 16 familiares de un joven el día de su boda,zh-TW,Chinese (Traditional),一道閃電在一名年輕人結婚當天奪走了他16名親屬的性命,一道閃電在一名年輕人結婚當天奪走了他16名親屬的生命,True
Un rayo acabó con la vida de 16 familiares de un joven el día de su boda,th,Thai,ฟ้าผ่าคร่าชีวิตญาติ 16 คนของชายหนุ่มในวันแต่งงานของเขา,ฟ้าผ่าคร่าชีวิตญาติของชายหนุ่ม 16 คนในวันแต่งงานของเขา,True
Un rayo acabó con la vida de 16 familiares de un joven el día de su boda,tr,Turkish,"Bir yıldırım, bir gencin düğün gününde 16 aile ferdinin hayatına son verdi","Bir yıldırım, bir gencin düğün gününde 16 aile üyesinin hayatına son verdi",True
Un rayo acabó con la vida de 16 familiares de un joven el día de su boda,uk,Ukrainian,Блискавка забрала життя 16 родичів молодого в день його весілля,Блискавка забрала життя 16 родичів молодого у день його весілля,True
Un rayo acabó con la vida de 16 familiares de un joven el día de su boda,vi,Vietnamese,Sét đã cướp đi mạng sống của 16 người thân của một thanh niên vào ngày cưới của anh,Sét đã cướp đi mạng sống của 16 người thân của một thanh niên trong ngày cưới của anh,True
Las últimas fotos de Rob Reiner que compartió su hija justo antes del trágico final,ar,Arabic,آخر صور روب راينر التي شاركتها ابنته قبل النهاية المأساوية,آخر صور روب راينر التي شاركتها ابنته قبل النهاية المأساوية,True
Las últimas fotos de Rob Reiner que compartió su hija justo antes del trágico final,bn,Bengali,দুর্ভাগ্যজনক পরিণতির ঠিক আগে মেয়ে যে রব রেইনারের শেষ দিকের ছবিগুলো শেয়ার করেছিলেন,দুর্ভাগ্যজনক পরিণতির ঠিক আগে মেয়ে যে রব রেইনারের শেষ দিকের ছবিগুলো ভাগ করেছিলেন,True
Las últimas fotos de Rob Reiner que compartió su hija justo antes del trágico final,nl,Dutch,De laatste foto’s van Rob Reiner die zijn dochter vlak voor het tragische einde deelde,De laatste foto’s van Rob Reiner die hij vlak voor het tragische einde van zijn dochter deelde,True
Las últimas fotos de Rob Reiner que compartió su hija justo antes del trágico final,en,English,The last photos of Rob Reiner that his daughter shared just before the tragic end,The last photos of Rob Reiner that his daughter shared just before the tragic ending,True
Las últimas fotos de Rob Reiner que compartió su hija justo antes del trágico final,fr,French,Les dernières photos de Rob Reiner que sa fille a partagées juste avant la fin tragique,Les dernières photos de Rob Reiner que sa fille a partagées juste avant la fin tragique,True
Las últimas fotos de Rob Reiner que compartió su hija justo antes del trágico final,de,German,"Die letzten Fotos von Rob Reiner, die seine Tochter kurz vor dem tragischen Ende teilte","Die letzten Fotos von Rob Reiner, die seine Tochter kurz vor dem tragischen Ende geteilt hat",True
Las últimas fotos de Rob Reiner que compartió su hija justo antes del trágico final,he,Hebrew,התמונות האחרונות של רוב ריינר שבתו שיתפה ממש לפני הסוף הטרגי,התמונות האחרונות של רוב ריינר שבתו שיתפה ממש לפני הסוף הטרגי,True
